Key,English

fireforge,"Fire Forge"
iceforge,"Ice Forge"
lightningforge,"Lightning Forge"

attSorceryName,"Arcane Sorcery"
attSorceryFireName,"Fire Sorcery"
attSorceryIceName,"Ice Sorcery"
attSorceryLightningName,"Lightning Sorcery"
attSorceryUnholyName,"[450000]Unholy[-] Sorcery"
attSorceryHolyName,"[c6b88f]Holy[-] Sorcery"

attSorceryRank1Desc,"You're training to become an Arcane Sorcerer:\n\nYou sense and feel very differently... something inside of you is awakening."
attSorceryRank2Desc,"• Learn how to craft an [ae92d5]Arcane Wheel[-] tailoring station\n• All Sorcery [ae92d5]20%[-] more powerful and [ae92d5]10%[-] faster\n• Maximum Spirit +[ae92d5]20[-] and Regeneration +[ae92d5]0.2[-]"
attSorceryRank3Desc,"• All Sorcery [ae92d5]30%[-] more powerful and [ae92d5]15%[-] faster\n• Maximum Spirit +[ae92d5]30[-] and Regeneration +[ae92d5]0.3[-]\n"
attSorceryRank4Desc,"• Learn how to craft various [ae92d5]Scrolls[-] at a Sorcerer Desk\n• All Sorcery [ae92d5]40%[-] more powerful and [ae92d5]20%[-] faster\n• Maximum Spirit +[ae92d5]40[-] and Regeneration +[ae92d5]0.4[-]"
attSorceryRank5Desc,"• All Sorcery [ae92d5]50%[-] more powerful and [ae92d5]25%[-] faster\n• Maximum Spirit +[ae92d5]50[-] and Regeneration +[ae92d5]0.5[-]\n"
attSorceryRank6Desc,"• All Sorcery [ae92d5]60%[-] more powerful and [ae92d5]30%[-] faster\n• Maximum Spirit +[ae92d5]60[-] and Regeneration +[ae92d5]0.6[-]\n"
attSorceryRank7Desc,"• All Sorcery [ae92d5]70%[-] more powerful and [ae92d5]35%[-] faster\n• Maximum Spirit +[ae92d5]70[-] and Regeneration +[ae92d5]0.7[-]\n"
attSorceryRank8Desc,"• All Sorcery [ae92d5]80%[-] more powerful and [ae92d5]40%[-] faster\n• Maximum Spirit +[ae92d5]80[-] and Regeneration +[ae92d5]0.8[-]\n"
attSorceryRank9Desc,"• All Sorcery [ae92d5]90%[-] more powerful and [ae92d5]45%[-] faster\n• Maximum Spirit +[ae92d5]90[-] and Regeneration +[ae92d5]0.9[-]\n"
attSorceryRank10Desc,"• All Sorcery [ae92d5]100%[-] more powerful and [ae92d5]50%[-] faster\n• Maximum Spirit +[ae92d5]100[-] and Regeneration +[ae92d5]1.0[-]\n"

attSorceryFireRank1Desc,"You're training to become a Fire Sorcerer:\n\nYou sense and feel very differently... something inside of you is awakening."
attSorceryFireRank2Desc,"• Learn to craft a [ae92d5]Fire Spellforge[-] crafting station\n• Harvest [ae92d5]Fire Essence[-] from Burnt Trees and Coal Ore\n• Fire Sorcery [ae92d5]20%[-] more powerful and [ae92d5]10%[-] faster"
attSorceryFireRank3Desc,"• Crafting at a Fire Spellforge is [ae92d5]10%[-] faster\n• Fire Sorcery [ae92d5]30%[-] more powerful and [ae92d5]15%[-] faster\n"
attSorceryFireRank4Desc,"• [ae92d5]+50%[-] Essence from Burnt Trees and Coal Ore\n• Fire Sorcery [ae92d5]40%[-] more powerful and [ae92d5]20%[-] faster\n"
attSorceryFireRank5Desc,"• Crafting at a Fire Spellforge is [ae92d5]20%[-] faster\n• Fire Sorcery [ae92d5]50%[-] more powerful and [ae92d5]25%[-] faster\n"
attSorceryFireRank6Desc,"• [ae92d5]+100%[-] Essence from Burnt Trees and Coal Ore\n• Fire Sorcery [ae92d5]60%[-] more powerful and [ae92d5]30%[-] faster\n"
attSorceryFireRank7Desc,"• Crafting at a Fire Spellforge is [ae92d5]30%[-] faster\n• Fire Sorcery [ae92d5]70%[-] more powerful and [ae92d5]35%[-] faster\n"
attSorceryFireRank8Desc,"• [ae92d5]+150%[-] Essence from Burnt Trees and Coal Ore\n• Fire Sorcery [ae92d5]80%[-] more powerful and [ae92d5]40%[-] faster\n"
attSorceryFireRank9Desc,"• Crafting at a Fire Spellforge is [ae92d5]40%[-] faster\n• Fire Sorcery [ae92d5]90%[-] more powerful and [ae92d5]45%[-] faster\n"
attSorceryFireRank10Desc,"• [ae92d5]+200%[-] Essence from Burnt Trees and Coal Ore\n• Fire Sorcery [ae92d5]100%[-] more powerful and [ae92d5]50%[-] faster\n"

attSorceryIceRank1Desc,"You're training to become an Ice Sorcerer:\n\nYou sense and feel very differently... something inside of you is awakening."
attSorceryIceRank2Desc,"• Learn to craft an [ae92d5]Ice Spellforge[-] crafting station\n• Harvest [ae92d5]Ice Essence[-] from Snow Trees and Nitrate Ore\n• Ice Sorcery [ae92d5]20%[-] more powerful and [ae92d5]10%[-] faster"
attSorceryIceRank3Desc,"• Crafting at an Ice Spellforge is [ae92d5]10%[-] faster\n• Ice Sorcery is now [ae92d5]30%[-] more powerful and [ae92d5]15%[-] faster\n"
attSorceryIceRank4Desc,"• [ae92d5]+50%[-] Essence from Snow Trees and Nitrate Ore\n• Ice Sorcery [ae92d5]40%[-] more powerful and [ae92d5]20%[-] faster\n"
attSorceryIceRank5Desc,"• Crafting at an Ice Spellforge is [ae92d5]20%[-] faster\n• Ice Sorcery is now [ae92d5]50%[-] more powerful and [ae92d5]25%[-] faster\n"
attSorceryIceRank6Desc,"• [ae92d5]+100%[-] Essence from Snow Trees and Nitrate Ore\n• Ice Sorcery [ae92d5]60%[-] more powerful and [ae92d5]30%[-] faster\n"
attSorceryIceRank7Desc,"• Crafting at an Ice Spellforge is [ae92d5]30%[-] faster\n• Ice Sorcery is now [ae92d5]70%[-] more powerful and [ae92d5]35%[-] faster\n"
attSorceryIceRank8Desc,"• [ae92d5]+150%[-] Essence from Snow Trees and Nitrate Ore\n• Ice Sorcery [ae92d5]80%[-] more powerful and [ae92d5]40%[-] faster\n"
attSorceryIceRank9Desc,"• Crafting at an Ice Spellforge is [ae92d5]40%[-] faster\n• Ice Sorcery is now [ae92d5]90%[-] more powerful and [ae92d5]45%[-] faster\n"
attSorceryIceRank10Desc,"• [ae92d5]+200%[-] Essence from Snow Trees and Nitrate Ore\n• Ice Sorcery [ae92d5]100%[-] more powerful and [ae92d5]50%[-] faster\n"

perkSorcerySpiritMasteryRank1Desc,"You are now an [2f9970]Initiate[-] Spiritist:\n• Maximum Spirit is increased by [ae92d5]10%[-]\n• Spirit Regeneration is increased by [ae92d5]10%[-]"
perkSorcerySpiritMasteryRank2Desc,"You are now a [36dc2a]Novice[-] Spiritist:\n• Maximum Spirit is increased by [ae92d5]20%[-]\n• Spirit Regeneration is increased by [ae92d5]20%[-]"
perkSorcerySpiritMasteryRank3Desc,"You are now an [407fff]Adept[-] Spiritist:\n• Maximum Spirit is increased by [ae92d5]30%[-]\n• Spirit Regeneration is increased by [ae92d5]30%[-]\n• Learn how to craft [ae92d5]Spirit Scrolls[-] at a Sorcerer Desk"
perkSorcerySpiritMasteryRank4Desc,"You are now an [ba3fd0]Expert[-] Spiritist:\n• Maximum Spirit is increased by [ae92d5]40%[-]\n• Spirit Regeneration is increased by [ae92d5]40%[-]"
perkSorcerySpiritMasteryRank5Desc,"You are now a [e60000]Master[-] Spiritist:\n• Maximum Spirit is increased by [ae92d5]50%[-]\n• Spirit Regeneration is increased by [ae92d5]50%[-]\n• You boost Maximum Spirit of nearby [ae92d5]Allies[-]\n• You boost Spirit Regeneration of nearby [ae92d5]Allies[-]."

perkSorceryEssenceMasteryRank1Desc,"You are now an [2f9970]Initiate[-] Empath:\n• You find [ae92d5]50%[-] more [ae92d5]Essence[-] from all sources\n• Find an additional [ae92d5]50%[-] more [ae92d5]Essence[-] in respective Biome"
